Code DANE,Municipality,Department,2016_yes_total,2016_no_total,2016_yes_percentage,2016_no_percentage,2016_turnout_percentage,2016_turnout,mun_risk_level,number_municipalities,mun_med_risk,mun_high_risk,mun_extr_risk,total_municipalities_at_risk,percentage_department_at_risk,org_crim_2014_2016,param_groups_1996_2011,ELN_2014_2016,FARC_2014_2015,des_zones_FARC_2016,var1_cat,pol_soc_viol_2016,press_liber_2016,mass_displ_2016,cat2_var,ill_crops_2015,ill_mining_2015,cat3_var,vote_corr_2006_2015,ballot_alt_2006_2015,cat4_var,aggregate_cat123,aggregate_cat1234
5001,Medellín,Antioquia,,,37,63,46,,0,,,,,,0,3,3,,,,6,3,1,,4,,,0,,,0,10,10
5002,Abejorral,Antioquia,,,38,62,24,,0,,,,,,0,,,,,,0,,,,0,,,0,1,,1,1,2
5004,Abriaquí,Antioquia,,,39,61,30,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5021,Alejandría,Antioquia,,,58,42,38,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5030,Amagá,Antioquia,,,33,67,29,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5031,Amalfi,Antioquia,,,36,64,23,,2,,,2,,,0,,1,2,,,3,,,,0,1,2,3,3,,3,17,20
5034,Andes,Antioquia,,,36,64,26,,0,,,,,,0,,1,,,,1,,,,0,,1,1,,,0,4,4
5036,Angelópolis,Antioquia,,,36,64,28,,0,,,,,,0,,,,,,0,,,,0,,2,2,,,0,4,4
5038,Angostura,Antioquia,,,39,61,21,,2,,,2,,,0,,,2,1,,3,,,,0,,,0,1,2,3,11,14
5040,Anorí,Antioquia,,,65,35,27,,3,,,,3,,0,,1,2,1,1,5,,,,0,2,2,4,3,,3,24,27
5042,Santafé de Antioquia,Antioquia,,,30,70,40,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5044,Anza,Antioquia,,,33,67,20,,0,,,,,,0,,,,,,0,,,,0,,1,1,1,,1,3,4
5045,Apartadó,Antioquia,,,52,48,31,,3,,,,3,,0,3,3,,1,,7,3,,,3,1,,1,,,0,25,25
5051,Arboletes,Antioquia,,,66,34,27,,0,,,,,,0,3,,,,,3,,,,0,,,0,,,0,6,6
5055,Argelia,Antioquia,,,32,68,31,,0,,,,,,0,2,,,,,2,,,,0,,1,1,1,,1,7,8
5059,Armenia,Antioquia,,,31,69,21,,1,,1,,,,0,3,1,,,,4,,,,0,,1,1,,,0,11,11
5079,Barbosa,Antioquia,,,33,67,35,,1,,1,,,,0,2,,,,,2,3,,,3,,,0,,,0,11,11
5086,Belmira,Antioquia,,,43,57,34,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5088,Bello,Antioquia,,,36,64,38,,2,,,2,,,0,,2,,,,2,3,,,3,,,0,1,,1,13,14
5091,Betania,Antioquia,,,30,70,19,,0,,,,,,0,,,,,,0,,,,0,,1,1,,,0,2,2
5093,Betulia,Antioquia,,,34,66,23,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5101,Ciudad Bolívar,Antioquia,,,30,70,23,,0,,,,,,0,,,,,,0,,,,0,,,0,1,,1,1,2
5107,Briceño,Antioquia,,,69,31,34,,2,,,2,,,0,3,,,1,,4,,1,3,4,2,,2,1,,1,23,24
5113,Buriticá,Antioquia,,,35,65,21,,2,,,2,,,0,3,,,,,3,3,,,3,,,0,,,0,14,14
5120,Cáceres,Antioquia,,,65,35,20,,3,,,,3,,0,3,,2,1,,6,,,3,3,2,3,5,1,,1,32,33
5125,Caicedo,Antioquia,,,39,61,26,,0,,,,,,0,,,,,,0,3,,,3,,,0,,,0,6,6
5129,Caldas,Antioquia,,,37,63,43,,0,,,,,,0,,1,,,,1,,,,0,,,0,,3,3,5,8
5134,Campamento,Antioquia,,,51,49,20,,2,,,2,,,0,,,2,1,,3,,,,0,2,2,4,2,,2,18,20
5138,Cañasgordas,Antioquia,,,41,59,36,,0,,,,,,0,3,,,,,3,,,,0,,,0,,,0,6,6
5142,Caracolí,Antioquia,,,49,5,25,,0,,,,,,0,,,,,,0,,,,0,,,0,1,,1,1,2
5145,Caramanta,Antioquia,,,42,58,27,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5147,Carepa,Antioquia,,,47,53,28,,2,,,2,,,0,3,1,,1,,5,3,,,3,,,0,,,0,18,18
5148,El Carmen de Viboral,Antioquia,,,33,67,34,,0,,,,,,0,,,,,,0,,,,0,,1,1,,,0,2,2
5150,Carolina,Antioquia,,,42,58,28,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5154,Caucasia,Antioquia,,,43,57,32,,2,,,2,,,0,2,,2,,,4,,1,,1,,2,2,,,0,16,16
5172,Chigorodó,Antioquia,,,52,48,28,,2,,,2,,,0,3,1,,,,4,3,,,3,,1,1,,,0,18,18
5190,Cisneros,Antioquia,,,37,63,26,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5197,Cocorná,Antioquia,,,35,65,38,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5206,Concepción,Antioquia,,,38,62,35,,0,,,,,,0,,,2,,,2,,,,0,,,0,,,0,4,4
5209,Concordia,Antioquia,,,32,68,20,,2,,,2,,,0,,,,,,0,3,,,3,,1,1,2,1,3,13,16
5212,Copacabana,Antioquia,,,39,61,41,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5234,Dabeiba,Antioquia,,,65,35,29,,3,,,,3,,0,3,2,,1,1,7,,,,0,,1,1,2,,2,21,23
5237,Don Matías,Antioquia,,,26,74,32,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5240,Ebéjico,Antioquia,,,35,65,25,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5250,El Bagre,Antioquia,,,44,56,21,,3,,,,3,,0,3,,2,1,,6,3,,3,6,1,3,4,1,1,2,37,39
5264,Entrerrios,Antioquia,,,33,67,34,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5266,Envigado,Antioquia,,,36,64,46,,0,,,,,,0,,,,,,0,,,,0,,,0,1,1,2,2,4
5282,Fredonia,Antioquia,,,36,64,27,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5284,Frontino,Antioquia,,,55,45,24,,0,,,,,,0,,1,,,,1,,,,0,,1,1,1,,1,5,6
5306,Giraldo,Antioquia,,,54,46,32,,0,,,,,,0,3,,,,,3,,,,0,,,0,,,0,6,6
5308,Girardota,Antioquia,,,36,64,36,,0,,,,,,0,,,,,,0,,,,0,,,0,,1,1,1,2
5310,Gómez Plata,Antioquia,,,37,63,26,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5313,Granada,Antioquia,,,39,61,35,,2,,,2,,,0,,1,,,,1,,,,0,,2,2,3,,3,11,14
5315,Guadalupe,Antioquia,,,55,45,25,,1,,1,,,,0,2,,,,,2,,,,0,,2,2,1,,1,10,11
5318,Guarne,Antioquia,,,27,73,47,,0,,,,,,0,,1,,,,1,,,,0,,,0,,,0,2,2
5321,Guatapé,Antioquia,,,39,61,50,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5347,Heliconia,Antioquia,,,44,56,24,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5353,Hispania,Antioquia,,,41,59,22,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
5360,Itagui,Antioquia,,,37,63,39,,0,,,,,,0,,,,,,0,,,,0,,,0,,,0,0,0
