Departamento,Nombre_municipio,Codigo_municipio,porcentaje_si,porcentaje_no,votación,abstención
AMAZONAS,LETICIA,91001,50,50,26,74
AMAZONAS,EL ENCANTO,91263,77,23,30,70
AMAZONAS,LA CHORREA,91405,83,17,36,64
AMAZONAS,LA PEDRERA,91407,88,12,21,79
AMAZONAS,LA VICTORIA,91430,80,20,28,72
AMAZONAS,MIRITI - PARANA,91460,93,7,20,80
AMAZONAS,PUERTO ALEGRIA,91530,91,9,23,77
AMAZONAS,PUERTO ARICA,91536,82,18,29,71
AMAZONAS,PUERTO NARIÑO,91540,75,25,27,73
AMAZONAS,PUERTO SANTANDER,91669,89,11,22,78
AMAZONAS,TARAPAC,91798,80,20,26,74
ANTIOQUIA,MEDELLIN,05001,37,63,46,54
ANTIOQUIA,ABEJORRAL,05002,38,62,24,76
ANTIOQUIA,ABRIAQUI,05004,39,61,30,70
ANTIOQUIA,ALEJANDRIA,05021,58,42,38,62
ANTIOQUIA,AMAGA,05030,33,67,29,71
ANTIOQUIA,AMALFI,05031,36,64,23,77
ANTIOQUIA,ANDES,05034,36,64,26,74
ANTIOQUIA,ANGELOPOLIS,05036,36,64,28,72
ANTIOQUIA,ANGOSTURA,05038,39,61,21,79
ANTIOQUIA,ANORI,05040,65,35,27,73
ANTIOQUIA,SANTA ROSA DE OSOS,05042,30,70,40,60
ANTIOQUIA,ANZA,05044,33,67,20,80
ANTIOQUIA,APARTADO,05045,52,48,31,69
ANTIOQUIA,ARBOLETES,05051,66,34,27,73
ANTIOQUIA,ARGELIA,05055,32,68,31,69
ANTIOQUIA,ARMENIA,05059,31,69,21,79
ANTIOQUIA,BARBOSA,05079,33,67,35,65
ANTIOQUIA,BELMIRA,05086,43,57,34,66
ANTIOQUIA,BELLO,05088,36,64,38,62
ANTIOQUIA,BETANIA,05091,30,70,19,81
ANTIOQUIA,BETULIA,05093,34,66,23,77
ANTIOQUIA,CIUDAD BOLIVAR,05101,30,70,23,77
